Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,False,,Attribute,The currency of the Customer account.
AccountDescriptiveName,Account,account,String,True,False,,Attribute,The descriptive name of the Customer account.
AccountTimeZone,Time zone,timeZone,String,True,False,,Attribute,"Name of the timezone selected for the Customer account. For example: ""(GMT-05:00) Eastern Time"". This field does not reflect the current state of daylight saving time for the timezone."
AdGroupId,Ad group ID,adGroupID,Long,True,False,,Attribute,The ID of the AdGroup.
AdGroupName,Ad group,adGroup,String,True,False,,Attribute,The name of the AdGroup.
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,True,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,Status of the ad group.
AdNetworkType1,Network,network,AdNetworkType1,True,False,"UNKNOWN / unknown
SEARCH / Search Network
CONTENT / Display Network
YOUTUBE_SEARCH / YouTube Search
YOUTUBE_WATCH / YouTube Videos
MIXED / Cross-network
",Segment,First level network type.
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,False,"UNKNOWN / unknown
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
YOUTUBE_SEARCH / YouTube Search
YOUTUBE_WATCH / YouTube Videos
MIXED / Cross-network
",Segment,Second level network type (includes search partners).
CampaignId,Campaign ID,campaignID,Long,True,False,,Attribute,The ID of the Campaign.
CampaignName,Campaign,campaign,String,True,False,,Attribute,The name of the Campaign.
CampaignStatus,Campaign state,campaignState,CampaignStatus,True,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,The status of the Campaign.
ConversionTrackerId,Free click type,freeClickType,Long,True,False,,Segment,ID of the conversion tracker.
CreativeConversionRate,Free click rate,freeClickRate,Double,True,False,,Metric,"The number of clicks that converted divided by your total clicks that can be tracked to a conversion. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
CreativeConversions,Free clicks,freeClicks,Long,True,False,,Metric,"The number of clicks that converted within your chosen conversion window. This field is formatted using US locale, i.e., using comma "","" for thousands and dot ""."" for decimals."
CreativeId,Ad ID,adID,Long,True,False,,Attribute,ID of the ad.
CriteriaParameters,Keyword / Placement,keywordPlacement,String,True,False,,Attribute,"Descriptive string for the Criterion. For more information on the format of criteria types in reports, see <a href='https://developers.google.com/adwords/api/docs/guides/reporting#criteria_prefixes'>the <b>Criteria prefixes</b> section of the reporting guide</a>."
CriteriaTypeName,Match type,matchType,String,True,False,,Attribute,The descriptive name of the CriteriaType.
CriterionId,Keyword ID,keywordID,Long,True,False,,Attribute,The Criterion ID.
CustomerDescriptiveName,Client name,clientName,String,True,False,,Attribute,The descriptive name of the Customer.
Date,Day,day,Date,True,False,,Segment,The date formatted as yyyy-MM-dd.
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,False,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"The name of the day of the week, e.g., ""Monday""."
ExternalCustomerId,Customer ID,customerID,Long,True,False,,Attribute,The Customer ID.
Impressions,Impressions,impressions,Long,True,False,,Metric,Count of how often your ad has appeared on a search results page or website on the Google Network.
Month,Month,month,String,True,False,,Segment,"The first day of the month, formatted as yyyy-MM-dd."
Quarter,Quarter,quarter,String,True,False,,Segment,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01."
Week,Week,week,String,True,False,,Segment,"The date for the Monday of the week, formatted as yyyy-MM-dd."
Year,Year,year,Integer,True,False,,Segment,"The year, formatted as yyyy."
