Name,Display Name,XML Attribute,Type,Enum Values,Behavior,Notes
ConversionRateManyPerClickSignificance,Conversion rate ACE indicator,conversionRateACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ConversionRateSignificance,Click conversion rate ACE indicator,clickConversionRateACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ImageAdUrl,Image hosting key,imageHostingKey,String,,Attribute,"Prefix this value with ""https://tpc.googlesyndication.com/pageadimg/imgad?id="" to get the full URL.
"
ViewThroughConversionsSignificance,View-through conv. ACE indicator,viewThroughConvACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
AccountCurrencyCode,Currency,currency,String,,Attribute,
AccountDescriptiveName,Account,account,String,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdGroupAdDisapprovalReasons,Disapproval reasons,disapprovalReasons,List,,Attribute,
AdGroupId,Ad group ID,adGroupID,Long,,Attribute,
AdGroupName,Ad group,adGroup,String,,Attribute,
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,,Attribute,
AdNetworkType1,Network,network,AdNetworkType1,,Segment,
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,,Segment,
AdType,Ad type,adType,Type,,Attribute,
AdvertiserExperimentSegmentationBin,ACE split,aCESplit,AdvertiserExperimentSegmentationBin,,Segment,"Prevents zero-impression rows from being returned.
"
AssistClicks,Assist Clicks,assistClicks,Long,,Metric,
AssistImpressions,Assist Impr.,assistImpr,Long,,Metric,
AssistImpressionsOverLastClicks,Assist Impr. / Last Clicks,assistImprLastClicks,Double,,Metric,
AverageCpc,Avg. CPC,avgCPC,Money,,Metric,
AverageCpm,Avg. CPM,avgCPM,Money,,Metric,
AveragePageviews,Pages / visit,pagesVisit,Double,,Metric,
AveragePosition,Avg. position,avgPosition,Double,,Metric,
AverageTimeOnSite,Avg. visit duration (seconds),avgVisitDurationSeconds,Double,,Metric,
BounceRate,Bounce rate,bounceRate,Double,,Metric,
CampaignId,Campaign ID,campaignID,Long,,Attribute,
CampaignName,Campaign,campaign,String,,Attribute,
CampaignStatus,Campaign state,campaignState,CampaignStatus,,Attribute,
ClickAssistedConversions,Click Assisted Conv.,clickAssistedConv,Long,,Metric,
ClickAssistedConversionsOverLastClickConversions,Click Assisted Conv. / Last Click Conv.,clickAssistedConvLastClickConv,Double,,Metric,
ClickAssistedConversionValue,Click Assisted Conv. Value,clickAssistedConvValue,Double,,Metric,
Clicks,Clicks,clicks,Long,,Metric,
ClickSignificance,Clicks ACE indicator,clicksACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ClickType,Click type,clickType,ClickType,,Segment,"Prevents zero-impression rows from being returned. The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
"
ConversionCategoryName,Conversion category,conversionCategory,String,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionManyPerClickSignificance,Conversion ACE indicator,conversionACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ConversionRate,Click conversion rate,clickConversionRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
