Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,False,,Attribute,"The currency of the Customer account.
"
AccountDescriptiveName,Account,account,String,True,False,,Attribute,"The descriptive name of the Customer account.
"
AccountTimeZoneId,Time zone,timeZone,String,True,False,,Attribute,"Name of the timezone selected for the Customer account. For example: ""(GMT-05:00) Eastern Time"". This field does not reflect the current state of daylight saving time for the timezone.
"
AdGroupId,Ad group ID,adGroupID,Long,True,False,,Attribute,"The ID of the AdGroup.
"
AdGroupName,Ad group,adGroup,String,True,False,,Attribute,"The name of the AdGroup.
"
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,True,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Status of the ad group.
"
AllConversionRate,All conv. rate,allConvRate,Double,True,False,,Metric,"AllConversions divided by total clicks that can be conversion-tracked. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
"
AllConversions,All conv.,allConv,Double,True,False,,Metric,"Best estimate of the total number of conversions that AdWords drives. Includes website, cross-device, and phone call conversions.
"
AllConversionValue,All conv. value,allConvValue,Double,True,False,,Metric,"The total value of all of your conversions, including those that are estimated.
"
AverageCpc,Avg. CPC,avgCPC,Money,True,False,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AverageCpm,Avg. CPM,avgCPM,Money,True,False,,Metric,"Average Cost-per-thousand impressions (CPM).
"
CampaignId,Campaign ID,campaignID,Long,True,False,,Attribute,"The ID of the Campaign.
"
CampaignName,Campaign,campaign,String,True,False,,Attribute,"The name of the Campaign.
"
CampaignStatus,Campaign state,campaignState,CampaignStatus,True,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"The status of the Campaign.
"
CategoryPaths,Categories,categories,String,True,False,,Attribute,"The themes of the pages in your website domain derived from your website's structure.
"
ClickConversionRate,Click conversion rate,clickConversionRate,Double,True,False,,Metric,"The number of converted clicks divided by your total clicks that can be tracked to a conversion. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
"
Clicks,Clicks,clicks,Long,True,False,,Metric,"The number of clicks.
"
ConversionRate,Conv. rate,convRate,Double,True,False,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
"
Conversions,Conversions,conversions,Double,True,False,,Metric,"The number of conversions for all conversion actions that you have opted into optimization.
"
ConversionValue,Total conv. value,totalConvValue,Double,True,False,,Metric,"The sum of conversion values for all conversions.
"
ConvertedClicks,Converted clicks,convertedClicks,Long,True,False,,Metric,"The number of clicks that converted within your chosen conversion window.
"
Cost,Cost,cost,Money,True,False,,Metric,"The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period. Other costs such as cost-per-call aren't included. For a sum of all costs, use the TotalCost column on the Ad Group Performance Report or Campaign Performance Report.
"
CostPerAllConversion,Cost / all conv.,costAllConv,Money,True,False,,Metric,"Total cost divided by all conversions.
"
CostPerConversion,Cost / conv.,costConv,Money,True,False,,Metric,"Total cost divided by total ConversionValue.
"
CostPerConvertedClick,Cost / converted click,costConvertedClick,Money,True,False,,Metric,"Cost divided by your total converted clicks.
"
CriterionId,Keyword ID,keywordID,Long,True,False,,Attribute,"The Criterion ID.
"
CrossDeviceConversions,Cross-device conv.,crossDeviceConv,Double,True,False,,Metric,"Conversions from when a customer clicks on an AdWords ad on one device, then converts on a different device or browser. Cross-device conversions are already included in your AllConversions column.
"
Ctr,CTR,ctr,Double,True,False,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,True,False,,Attribute,"The descriptive name of the Customer.
"
Date,Day,day,Date,True,False,,Segment,"The date formatted as yyyy-MM-dd.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,False,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"The name of the day of the week, e.g., ""Monday"".
"
Domain,Domain,domain,String,True,False,,Attribute,"The domain of the dynamically selected destination URL of the impression.
"
ExternalCustomerId,Customer ID,customerID,Long,True,False,,Attribute,"The Customer ID.
"
Impressions,Impressions,impressions,Long,True,False,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
Line1,Dynamically generated Headline,dynamicallyGeneratedHeadline,String,True,False,,Attribute,"The dynamically generated headline of the Dynamic Search Ad.
"
Month,Month,month,String,True,False,,Segment,"The first day of the month, formatted as yyyy-MM-dd.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,False,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"The name of the month of the year, e.g., ""December"".
"
PrimaryCompanyName,Company name,companyName,String,True,False,,Attribute,"Company name of the account.
"
Quarter,Quarter,quarter,String,True,False,,Segment,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01.
"
Query,Search term,searchTerm,String,True,False,,Attribute,"If the string for this attribute is longer than 128 char bytes, the returned result will NOT be a single aggregated row.
"
Title,Landing Page Title,landingPageTitle,String,True,False,,Attribute,"Title of the landing page.
"
Url,URL,url,String,True,False,,Attribute,"The dynamically selected destination URL of the impression.
"
ValuePerAllConversion,Value / all conv.,valueAllConv,Double,True,False,,Metric,"The value, on average, of all conversions.
"
ValuePerConversion,Value / conv.,valueConv,Double,True,False,,Metric,"The total value of your conversions divided by the total number of converted clicks.
"
ValuePerConvertedClick,Value / converted click,valueConvertedClick,Double,True,False,,Metric,"The total value of all conversions divided by the total number of converted clicks.
"
Week,Week,week,String,True,False,,Segment,"The date for the Monday of the week, formatted as yyyy-MM-dd.
"
Year,Year,year,Integer,True,False,,Segment,"The year, formatted as yyyy.
"
